Stage,Cities,,,
1,Florence – Rimini,,,
2,Cesenatico – Bologna,,,
3,Piacenza – Turin,,,
4,Pinerolo – Valloire,,,
5,Saint-Jean-de-Maurienne – Saint-Vulbas,,,
6,Mâcon – Dijon,,,
7,Nuits-Saint-Georges – Gevrey-Chambertin,,,
8,Semur – Colombey-les-Deux-Églises,,,
9,Troyes – Troyes,,,
10,Orléans – Saint-Amand-Montrond,,,
11,Evaux-les-Bains – Le Lioran,,,
12,Aurillac – Villeneuve-sur-Lot,,,
13,Agen – Pau,,,
14,Pau – Pla d’Adet,,,
15,Loudenvielle – Plateau de Beille,,,
16,Gruissan – Nîmes,,,
17,Saint-Paul-Trois-Châteaux – Superdévoluy,,,
18,Gap – Barcelonnette,,,
19,Embrun – Isola 2000,,,
20,Nice – Col de la Couillole,,,
21,Monaco – Nice,,,
