Stage,Cities
1,Lille – Lille
2,Lauwin-Planque – Boulogne-sur-Mer
3,Valenciennes – Dunkirk
4,Amiens – Rouen
5,Caen – Caen
6,Bayeux – Vire
7,Saint-Malo – Mûr-de-Bretagne
8,Saint-Méen-le-Grand – Laval
9,Chinon – Châteauroux
10,Ennezat – Le Mont-Dore
11,Toulouse – Toulouse
12,Auch – Hautacam
13,Loudenvielle – Peyragudes
14,Pau – Superbagnères
15,Muret – Carcassonne
16,Montpellier – Mont-Ventoux
17,Bollène – Valence
18,Vif – Col de la Loze
19,Albertville – La Plagne
20,Nantua – Pontarlier
21,Mantes-la-Ville – Paris
